,NAME,ADDRESS,CITY,COUNTY,LON,LAT,geometry
132823,耕读世家,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.95269,29.899958,POINT (119.95269 29.899958)
132824,春及堂,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.950676,29.900087,POINT (119.950676 29.900087)
132826,天子堂,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.950447,29.899515,POINT (119.950447 29.899515)
132827,山乐堂,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.95118,29.89823,POINT (119.95118 29.89823)
132828,粉署流香,龙胡线附近,杭州市,富阳区,119.953491,29.899515,POINT (119.953491 29.899515)
132829,积善堂(龙胡线),龙门镇牌楼龙门古镇内,杭州市,富阳区,119.952026,29.899712,POINT (119.952026 29.899712)
132831,龙门校场,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.948822,29.903028,POINT (119.948822 29.903028)
132832,鱼跃塘,307省道龙门镇牌楼龙门古镇内,杭州市,富阳区,119.949883,29.903143,POINT (119.949883 29.903143)
132833,百狮厅,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.953873,29.897409,POINT (119.953873 29.897409)
132839,百步厅,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.953758,29.89909,POINT (119.953758 29.89909)
132840,旧厅,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.951309,29.901051,POINT (119.951309 29.901051)
132841,明哲堂,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.951538,29.899147,POINT (119.951538 29.899147)
132842,品茗轩,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.952103,29.898764,POINT (119.952103 29.898764)
132843,砚池,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.9515,29.898766,POINT (119.9515 29.898766)
132844,百花厅,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.953751,29.898806,POINT (119.953751 29.898806)
132845,瑞徽堂,龙胡线附近,杭州市,富阳区,119.953804,29.897602,POINT (119.953804 29.897602)
132849,孝友堂,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.950127,29.901743,POINT (119.950127 29.901743)
132858,跃龙桥,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.949631,29.902617,POINT (119.949631 29.902617)
132859,田园栈道,307省道附近,杭州市,富阳区,119.94912,29.903788,POINT (119.94912 29.903788)
132870,鸸鹋,受降镇杭富路九龙大道1号杭州野生动物世界内,杭州市,富阳区,119.987984,30.152004,POINT (119.987984 30.152004)
132871,问鼎亭,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.949501,29.902832,POINT (119.949501 29.902832)
132872,雪虎,受降镇杭富路九龙大道1号杭州野生动物世界内,杭州市,富阳区,119.984268,30.149429,POINT (119.984268 30.149429)
132873,峻望亭,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.947945,29.903244,POINT (119.947945 29.903244)
132874,龙门古镇-官房厅,龙门镇牌楼龙门古镇内,杭州市,富阳区,119.951294,29.900528,POINT (119.951294 29.900528)
132880,双烈园,江滨东大道138号,杭州市,富阳区,119.973061,30.053091,POINT (119.973061 30.053091)
132881,龙门森林公园,上官乡龙门森林公园,杭州市,富阳区,119.970451,29.888123,POINT (119.970451 29.888123)
132882,通天飞瀑风景区,胥口镇上连村,杭州市,富阳区,119.629189,30.001471,POINT (119.629189 30.001471)
132899,孙权故里,龙门古镇(富春江南),杭州市,富阳区,119.948029,29.903246,POINT (119.948029 29.903246)
133052,平阳县万全镇郑楼陈交大太阴宫,万全镇郑楼社区陈交大村,温州市,平阳县,120.606415,27.72629,POINT (120.606415 27.72629)
133084,西湾风景区,昆阳镇,温州市,平阳县,120.676178,27.633762,POINT (120.676178 27.633762)
133089,满田森林公园,梅马线,温州市,平阳县,120.257492,27.655943,POINT (120.257492 27.655943)
133091,纪念亭,黄象线,温州市,平阳县,120.646629,27.657915,POINT (120.646629 27.657915)
133092,龙潭三瀑,城新线,温州市,平阳县,120.663422,27.632153,POINT (120.663422 27.632153)
133093,巍然浮石,城新线,温州市,平阳县,120.678459,27.642759,POINT (120.678459 27.642759)
133098,象山,城新线附近,温州市,平阳县,120.621742,27.67396,POINT (120.621742 27.67396)
133104,顺溪景区,南雁荡山,温州市,平阳县,120.175491,27.543207,POINT (120.175491 27.543207)
133105,马九娘娘宫管理组,昆阳镇G15沈海高速,温州市,平阳县,120.549614,27.680784,POINT (120.549614 27.680784)
133111,佛教会鳌江镇翠峰寺,104国道附近,温州市,平阳县,120.565514,27.631756,POINT (120.565514 27.631756)
133112,西宝庵,桥南线附近,温州市,平阳县,120.223412,27.56893,POINT (120.223412 27.56893)
133113,香云寺,,温州市,平阳县,120.528427,27.618376,POINT (120.528427 27.618376)
133115,集福禅寺,昆江线附近,温州市,平阳县,120.536789,27.719196,POINT (120.536789 27.719196)
133117,水头广济庙,桥中路附近,温州市,平阳县,120.326103,27.624208,POINT (120.326103 27.624208)
133122,福德禅寺,昆阳镇后垟村,温州市,平阳县,120.541252,27.6705,POINT (120.541252 27.6705)
133381,净光塔,人民路松台山公园,温州市,鹿城区,120.651779,28.009302,POINT (120.651779 28.009302)
133383,鬼园神宫,,温州市,鹿城区,120.645157,28.029541,POINT (120.645157 28.029541)
133384,温州盆景园,江心屿景区内,温州市,鹿城区,120.644157,28.026844,POINT (120.644157 28.026844)
133385,九曲桥,江心屿景区内,温州市,鹿城区,120.643761,28.027744,POINT (120.643761 28.027744)
133386,天外天,江心西园内,温州市,鹿城区,120.634369,28.026278,POINT (120.634369 28.026278)
133387,峡谷漂流,江心西园内,温州市,鹿城区,120.631905,28.025808,POINT (120.631905 28.025808)
133391,双屿仁济道观,湾儿山路38号仁济庙附近,温州市,鹿城区,120.603722,28.02544,POINT (120.603722 28.02544)
133392,松风亭,江心屿景区内,温州市,鹿城区,120.647583,28.026892,POINT (120.647583 28.026892)
133394,诗之岛,,温州市,鹿城区,120.645393,28.026237,POINT (120.645393 28.026237)
133395,浮沙赤岩庙,樟里东路附近,温州市,鹿城区,120.749672,28.003597,POINT (120.749672 28.003597)
133396,夏鼐故居,仓桥街102号,温州市,鹿城区,120.654663,28.017874,POINT (120.654663 28.017874)
133500,三圣宫,锦湖街道花园路55号,温州市,瑞安市,120.626259,27.787508,POINT (120.626259 27.787508)
133512,李氏宗祠,城南村办公楼(塘永线)附近,温州市,瑞安市,120.731407,27.825134,POINT (120.731407 27.825134)
133513,颐寿园,海阳路23号附近,温州市,瑞安市,120.727425,27.82649,POINT (120.727425 27.82649)
133515,利济医院,公园路10号,温州市,瑞安市,120.633705,27.782394,POINT (120.633705 27.782394)
133516,鲍田杨东宏盛殿,鲍四路,温州市,瑞安市,120.747894,27.801876,POINT (120.747894 27.801876)
133530,石垟湖风景区,石垟村附近,温州市,瑞安市,120.441032,27.759502,POINT (120.441032 27.759502)
133539,向阳亭,凤驮线,温州市,瑞安市,120.637329,27.836576,POINT (120.637329 27.836576)
133540,瑞安市结婚纪念林,104国道,温州市,瑞安市,120.676453,27.808954,POINT (120.676453 27.808954)
133541,玉皇宫,青前路附近,温州市,瑞安市,120.419823,27.8528,POINT (120.419823 27.8528)
133553,大圣殿,汀田街道联中东路,温州市,瑞安市,120.721565,27.788918,POINT (120.721565 27.788918)
133557,后岗底大圣殿,西银线,温州市,瑞安市,120.620079,27.83486,POINT (120.620079 27.83486)
133558,汪屿亭,330省道,温州市,瑞安市,120.315872,27.775078,POINT (120.315872 27.775078)
133563,前山杨府殿,根山线,温州市,瑞安市,120.588867,27.886997,POINT (120.588867 27.886997)
133568,延龄亭,湖岭镇瑞枫线,温州市,瑞安市,120.38858,27.901438,POINT (120.38858 27.901438)
133570,三百庵,海安大街135附近,温州市,瑞安市,120.728973,27.827354,POINT (120.728973 27.827354)
133571,凤林庵,,温州市,瑞安市,120.722229,27.832977,POINT (120.722229 27.832977)
133575,双桥小若岩胡公府,罗梅线,温州市,瑞安市,120.703575,27.850122,POINT (120.703575 27.850122)
133660,北峰寺,雅氡线附近,温州市,泰顺县,120.088097,27.384399,POINT (120.088097 27.384399)
133669,文兴桥,筱村镇坑边村,温州市,泰顺县,119.912231,27.567354,POINT (119.912231 27.567354)
133670,廊桥文化园,东桂线附近,温州市,泰顺县,120.001137,27.470146,POINT (120.001137 27.470146)
133671,西山挹秀,参政路,温州市,文成县,119.957878,27.91563,POINT (119.957878 27.91563)
133674,善乐亭,双珊线附近,温州市,文成县,120.07769,27.75666,POINT (120.07769 27.75666)
133676,杨府圣王殿,文青线附近,温州市,文成县,120.194122,27.902744,POINT (120.194122 27.902744)
